Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
1,68,190.0,94.0,29.0,105.0,40.8,231.0
0,20,166.0,60.0,14.0,94.0,40.3,66.0
1,69,179.0,79.0,5.0,88.0,38.7,26.0
0,34,179.0,71.0,13.0,100.0,40.5,71.0
0,27,154.0,58.0,10.0,81.0,39.8,35.0
0,36,151.0,50.0,23.0,96.0,40.7,123.0
0,33,158.0,56.0,22.0,95.0,40.5,112.0
1,41,175.0,85.0,25.0,100.0,40.7,143.0
1,60,186.0,94.0,21.0,97.0,40.4,134.0
0,26,146.0,51.0,16.0,90.0,40.2,72.0
0,36,177.0,76.0,1.0,74.0,37.8,3.0
0,21,157.0,56.0,17.0,100.0,40.0,92.0
1,66,171.0,79.0,11.0,90.0,40.0,58.0
0,32,157.0,54.0,18.0,93.0,40.4,88.0
1,53,182.0,85.0,2.0,82.0,38.1,7.0
0,39,156.0,62.0,28.0,104.0,40.8,170.0
1,39,182.0,82.0,4.0,82.0,38.6,11.0
1,46,169.0,67.0,11.0,89.0,40.2,43.0
0,27,171.0,65.0,4.0,85.0,38.6,15.0
1,50,188.0,86.0,14.0,94.0,40.2,74.0
1,67,189.0,93.0,8.0,77.0,39.2,29.0
0,31,148.0,50.0,8.0,84.0,39.5,32.0
0,33,157.0,60.0,3.0,80.0,38.7,10.0
0,20,165.0,59.0,29.0,100.0,41.0,155.0
1,48,182.0,85.0,1.0,80.0,37.7,3.0
1,29,176.0,75.0,10.0,83.0,39.7,24.0
1,33,173.0,73.0,7.0,78.0,39.3,12.0
1,42,190.0,88.0,3.0,83.0,38.9,10.0
0,62,159.0,59.0,29.0,106.0,41.2,195.0
1,38,171.0,75.0,2.0,81.0,38.2,5.0
1,20,183.0,88.0,16.0,97.0,40.5,69.0
0,25,160.0,59.0,24.0,102.0,40.3,136.0
0,24,165.0,59.0,18.0,91.0,40.2,80.0
0,42,165.0,68.0,22.0,93.0,40.8,107.0
1,22,182.0,84.0,29.0,114.0,41.0,200.0
0,74,158.0,59.0,10.0,93.0,39.6,56.0
0,70,154.0,59.0,10.0,88.0,40.0,50.0
0,26,182.0,80.0,21.0,96.0,40.5,100.0
1,44,184.0,86.0,25.0,114.0,40.8,200.0
1,61,183.0,86.0,1.0,81.0,38.3,4.0
0,68,157.0,57.0,13.0,92.0,40.1,70.0
0,61,176.0,70.0,20.0,104.0,40.5,127.0
1,63,179.0,80.0,25.0,108.0,40.8,197.0
0,54,171.0,66.0,20.0,98.0,40.1,113.0
0,54,169.0,66.0,3.0,80.0,38.9,11.0
0,47,155.0,55.0,16.0,93.0,40.5,82.0
1,33,184.0,86.0,8.0,86.0,39.9,26.0
0,24,171.0,66.0,24.0,105.0,40.6,141.0
1,24,195.0,98.0,20.0,96.0,40.6,92.0
1,48,152.0,59.0,2.0,79.0,38.0,5.0
1,35,193.0,93.0,10.0,83.0,39.7,30.0
1,21,168.0,71.0,3.0,78.0,38.5,3.0
0,21,179.0,73.0,9.0,90.0,39.6,37.0
0,22,158.0,62.0,25.0,105.0,40.6,147.0
0,69,174.0,69.0,2.0,80.0,38.1,8.0
1,53,191.0,101.0,21.0,106.0,40.7,159.0
0,68,155.0,58.0,15.0,100.0,40.3,93.0
0,69,164.0,65.0,23.0,113.0,40.4,173.0
1,28,198.0,101.0,19.0,95.0,40.6,89.0
1,70,188.0,89.0,7.0,82.0,39.3,31.0
0,36,170.0,64.0,9.0,84.0,39.6,35.0
0,77,177.0,80.0,16.0,98.0,40.6,94.0
0,32,167.0,63.0,9.0,99.0,39.7,49.0
0,62,185.0,77.0,13.0,84.0,40.4,54.0
0,64,151.0,56.0,20.0,97.0,40.4,117.0
1,45,175.0,79.0,27.0,104.0,40.6,173.0
1,45,158.0,61.0,20.0,97.0,40.7,99.0
0,22,177.0,71.0,10.0,93.0,39.8,45.0
1,45,169.0,69.0,22.0,113.0,40.6,166.0
0,66,174.0,69.0,28.0,111.0,40.9,202.0
1,31,182.0,83.0,20.0,101.0,40.9,107.0
0,57,163.0,68.0,29.0,109.0,40.7,199.0
1,53,192.0,93.0,5.0,90.0,39.1,25.0
0,22,179.0,67.0,8.0,77.0,39.5,23.0
1,67,192.0,92.0,24.0,108.0,40.7,200.0
0,27,168.0,64.0,2.0,76.0,38.2,6.0
1,57,178.0,83.0,2.0,79.0,38.1,7.0
0,49,168.0,68.0,20.0,99.0,40.6,113.0
0,39,168.0,63.0,29.0,108.0,40.7,188.0
1,47,165.0,72.0,20.0,96.0,40.3,103.0
1,62,197.0,101.0,17.0,103.0,40.3,128.0
1,41,187.0,89.0,23.0,99.0,40.7,130.0
0,34,144.0,50.0,7.0,83.0,39.3,27.0
0,40,163.0,62.0,27.0,111.0,41.2,185.0
0,55,155.0,57.0,11.0,92.0,39.8,57.0
1,44,189.0,88.0,13.0,94.0,40.0,65.0
0,45,160.0,60.0,16.0,99.0,40.4,91.0
0,49,164.0,64.0,19.0,105.0,40.4,120.0
0,46,166.0,68.0,12.0,101.0,40.1,70.0
1,25,202.0,100.0,9.0,94.0,39.8,39.0
1,68,171.0,80.0,22.0,95.0,40.5,136.0
0,25,169.0,64.0,14.0,101.0,40.2,77.0
0,31,174.0,67.0,9.0,93.0,39.5,42.0
1,57,184.0,91.0,7.0,95.0,39.2,41.0
0,27,159.0,59.0,14.0,88.0,39.9,59.0
1,40,201.0,98.0,24.0,110.0,40.7,179.0
0,57,171.0,74.0,2.0,73.0,38.6,6.0
0,23,155.0,62.0,5.0,74.0,39.2,13.0
1,23,189.0,87.0,23.0,110.0,40.0,147.0
1,43,183.0,88.0,26.0,107.0,40.7,180.0
1,74,201.0,107.0,14.0,96.0,40.1,101.0
0,45,158.0,53.0,23.0,106.0,40.7,150.0
0,31,165.0,60.0,25.0,115.0,40.8,179.0
1,21,195.0,93.0,6.0,93.0,39.2,23.0
1,50,190.0,96.0,3.0,80.0,38.3,10.0
1,39,175.0,74.0,9.0,93.0,39.5,39.0
1,57,169.0,81.0,30.0,112.0,40.9,247.0
0,26,159.0,53.0,19.0,92.0,40.5,89.0
1,34,181.0,83.0,25.0,102.0,40.9,141.0
0,55,160.0,62.0,4.0,87.0,39.1,18.0
0,52,171.0,67.0,15.0,89.0,40.6,70.0
1,21,188.0,90.0,29.0,110.0,40.8,185.0
0,20,136.0,45.0,11.0,94.0,40.1,54.0
0,79,152.0,60.0,29.0,107.0,40.8,207.0
1,21,189.0,91.0,27.0,114.0,41.0,189.0
1,50,171.0,74.0,2.0,82.0,38.1,6.0
0,29,180.0,76.0,12.0,97.0,39.9,60.0
1,22,194.0,92.0,6.0,92.0,39.0,23.0
0,28,158.0,60.0,27.0,113.0,40.8,186.0
1,38,188.0,93.0,28.0,104.0,40.9,178.0
1,23,169.0,73.0,25.0,102.0,40.7,122.0
0,68,159.0,68.0,24.0,108.0,40.5,166.0
1,79,176.0,86.0,20.0,102.0,40.1,158.0
0,35,182.0,70.0,2.0,83.0,38.4,7.0
1,67,201.0,96.0,18.0,105.0,40.5,143.0
0,21,156.0,52.0,12.0,82.0,39.8,43.0
0,44,143.0,49.0,17.0,92.0,40.2,86.0
0,43,175.0,72.0,23.0,100.0,40.7,128.0
1,21,186.0,79.0,29.0,111.0,41.0,182.0
0,32,170.0,70.0,10.0,98.0,39.7,52.0
1,79,179.0,91.0,27.0,107.0,40.4,236.0
1,51,192.0,96.0,19.0,97.0,40.6,114.0
0,60,174.0,67.0,11.0,99.0,39.7,64.0
1,49,184.0,86.0,26.0,103.0,40.8,171.0
1,46,179.0,84.0,6.0,82.0,39.2,19.0
0,35,149.0,54.0,21.0,111.0,40.5,144.0
1,31,172.0,76.0,9.0,94.0,39.7,37.0
1,42,185.0,78.0,26.0,110.0,41.4,185.0
0,66,174.0,69.0,13.0,87.0,39.8,60.0
1,52,189.0,90.0,22.0,96.0,40.5,127.0
1,59,166.0,73.0,23.0,101.0,40.4,149.0
1,23,169.0,71.0,16.0,102.0,40.1,78.0
0,49,164.0,63.0,5.0,91.0,38.9,24.0
0,25,157.0,57.0,23.0,107.0,40.8,143.0
1,20,188.0,84.0,27.0,104.0,41.0,143.0
0,28,163.0,66.0,15.0,94.0,40.1,71.0
1,60,182.0,90.0,11.0,90.0,40.2,58.0
0,29,178.0,77.0,15.0,95.0,40.4,71.0
1,40,184.0,87.0,5.0,88.0,39.5,20.0
1,26,191.0,93.0,17.0,96.0,40.3,78.0
0,26,176.0,76.0,19.0,97.0,40.4,93.0
1,25,158.0,58.0,6.0,90.0,39.2,17.0
0,60,190.0,87.0,3.0,84.0,38.9,12.0
1,25,181.0,81.0,23.0,101.0,40.8,115.0
0,39,165.0,65.0,19.0,106.0,40.6,119.0
0,30,153.0,53.0,26.0,108.0,40.6,168.0
1,23,198.0,100.0,12.0,90.0,40.4,44.0
0,37,148.0,51.0,29.0,108.0,40.6,192.0
0,22,147.0,47.0,17.0,101.0,40.3,96.0
0,26,170.0,68.0,23.0,105.0,40.7,135.0
0,56,167.0,60.0,12.0,86.0,40.2,54.0
1,43,171.0,79.0,30.0,115.0,40.8,239.0
0,38,169.0,65.0,14.0,94.0,40.1,69.0
1,24,179.0,80.0,14.0,90.0,40.7,46.0
0,25,164.0,63.0,21.0,101.0,40.7,115.0
0,31,163.0,62.0,4.0,88.0,39.1,17.0
0,54,151.0,57.0,25.0,115.0,40.4,190.0
0,34,190.0,91.0,12.0,89.0,40.2,48.0
0,28,176.0,72.0,27.0,112.0,40.7,178.0
1,24,191.0,95.0,6.0,88.0,39.3,20.0
0,27,167.0,69.0,15.0,90.0,40.4,64.0
0,35,154.0,57.0,19.0,94.0,40.6,95.0
1,49,183.0,89.0,25.0,111.0,40.8,196.0
1,36,185.0,91.0,2.0,91.0,38.1,9.0
0,58,192.0,83.0,18.0,101.0,40.8,105.0
0,40,157.0,61.0,12.0,92.0,40.0,58.0
1,31,179.0,77.0,24.0,97.0,40.8,111.0
1,50,182.0,86.0,17.0,101.0,40.3,108.0
1,36,202.0,109.0,6.0,87.0,39.1,24.0
0,34,163.0,61.0,13.0,96.0,40.1,67.0
0,78,153.0,54.0,13.0,84.0,40.3,62.0
1,41,178.0,76.0,28.0,104.0,40.8,172.0
1,41,172.0,71.0,7.0,87.0,39.5,24.0
1,24,178.0,77.0,19.0,98.0,40.1,84.0
0,67,173.0,69.0,20.0,105.0,40.5,132.0
0,47,179.0,75.0,25.0,110.0,40.7,167.0
0,42,154.0,52.0,17.0,101.0,40.6,101.0
0,25,180.0,75.0,23.0,97.0,40.6,113.0
1,25,179.0,78.0,17.0,101.0,40.3,84.0
0,58,165.0,68.0,6.0,88.0,39.4,28.0
1,68,191.0,98.0,22.0,99.0,41.0,157.0
1,24,181.0,91.0,14.0,97.0,40.4,64.0
1,38,192.0,92.0,21.0,104.0,40.6,133.0
0,26,164.0,59.0,23.0,108.0,40.5,145.0
1,64,178.0,83.0,24.0,103.0,41.0,174.0
0,49,174.0,75.0,7.0,93.0,39.2,34.0
0,73,158.0,57.0,29.0,103.0,40.9,193.0
1,27,180.0,86.0,24.0,107.0,40.7,147.0
1,66,171.0,72.0,18.0,105.0,40.5,133.0
1,39,199.0,104.0,26.0,101.0,40.7,161.0
0,30,168.0,62.0,6.0,76.0,39.4,18.0
1,76,187.0,96.0,12.0,96.0,40.1,85.0
1,60,193.0,90.0,15.0,95.0,40.0,90.0
1,54,188.0,90.0,23.0,108.0,40.9,176.0
0,49,166.0,66.0,11.0,89.0,39.6,51.0
0,24,173.0,66.0,7.0,82.0,39.3,24.0
0,28,161.0,57.0,6.0,83.0,39.5,22.0
1,72,197.0,102.0,25.0,106.0,40.9,212.0
